Feature,importance
cp_type,0.0
cp_time,825.4342795512057
cp_dose,109.08433780744235
pca_umap_all_1,2402.552744201879
pca_umap_all_2,89.15508953844255
pca_umap_all_3,6779.222420659262
pca_umap_all_4,224.1583237350569
pca_umap_all_5,14.24093487553182
pca_umap_all_6,49.798175787043874
pca_umap_all_7,26.9266210214264
pca_umap_all_8,446.2457714266117
pca_umap_all_9,44.25238906987943
pca_umap_all_10,235.29772506105655
pca_umap_g_d_g_1,244.7917166207917
pca_umap_g_d_g_2,25.384911444416502
pca_umap_g_d_g_3,601.2281435908662
pca_umap_g_d_g_4,65.89169098637831
pca_umap_g_d_g_5,129.79402913936235
pca_umap_g_d_g_6,26.54549422830314
pca_umap_g_d_g_7,2.9048395754070953
pca_umap_g_d_g_8,2054.326455913484
pca_umap_g_d_g_9,97.8657117584371
pca_umap_g_d_g_10,591.0134578358411
pca_umap_c_d_c_1,16.550693982979283
pca_umap_c_d_c_2,61.33636756381384
pca_umap_g_1,616.5706911958378
pca_umap_g_2,875.4937128817164
pca_umap_g_3,101.26708328091445
pca_umap_g_4,8.28203664405737
pca_umap_g_5,1120.9241093123842
pca_umap_g_6,452.7839670417411
pca_umap_g_7,75.09239132649964
pca_umap_g_8,6.94616056396535
pca_umap_g_9,34.129618682170985
pca_umap_g_10,715.5702541948061
pca_umap_c_1,28.220186595106497
pca_umap_c_2,46.19970065963571
pca_umap_d_g_1,20.618389545707032
pca_umap_d_g_2,79.27180532092461
pca_umap_d_g_3,77.7868396640988
pca_umap_d_g_4,115.19915310491342
pca_umap_d_g_5,102.4512548793573
pca_umap_d_g_6,160.88959361110392
pca_umap_d_g_7,66.73705402000996
pca_umap_d_g_8,701.6172776519088
pca_umap_d_g_9,9.28439541780972
pca_umap_d_g_10,22.377868411596864
pca_umap_d_c_1,35.866214737065434
pca_umap_d_c_2,127.61235307328124
pca_all_1,24.550807814026484
pca_all_2,282.73438385649933
pca_all_3,63.66514054416166
pca_g_d_g_1,7.205975298478734
pca_g_d_g_2,58.36133000254631
pca_g_d_g_3,2.879274471953977
pca_c_d_c_1,80.3631694442447
pca_c_d_c_2,37.131467150582466
pca_c_d_c_3,15.304116409988637
pca_g_1,4.638801389603941
pca_g_2,158.50455743301518
pca_g_3,30.02442508041554
pca_c_1,13.09877344466804
pca_c_2,99.24873136653503
pca_c_3,48.33604878443293
pca_d_g_1,23.459220700642618
pca_d_g_2,15.59915988263674
pca_d_g_3,101.74151419957062
pca_d_c_1,6.646497139640587
pca_d_c_2,40.386731414670066
pca_d_c_3,3.276145108337005
g-104,393.4549522367888
g-307,130.66506953759358
g-46,588.4667019995445
g-219,34.778380660492985
d_g-104,458.75173931225584
d_g-307,1621.2010278180057
d_g-46,84.05963174335193
d_g-216,637.9881023242161
d_g-219,209.45222205739776
d_g-153,1247.7410124459338
cp_type,61.97897757589817
cp_time,322.15635754034156
cp_dose,284.2977049656505
pca_umap_all_1,2467.293832761585
pca_umap_all_2,125.19151515275007
pca_umap_all_3,6831.797239572275
pca_umap_all_4,566.4381694419786
pca_umap_all_5,17.230990395376892
pca_umap_all_6,207.5548027944751
pca_umap_all_7,137.96495080537716
pca_umap_all_8,404.381998544186
pca_umap_all_9,1.9849389789069392
pca_umap_all_10,221.8605408341391
pca_umap_g_d_g_1,66.11890629376285
pca_umap_g_d_g_2,36.86811965670495
pca_umap_g_d_g_3,183.52762438275386
pca_umap_g_d_g_4,108.1659148503386
pca_umap_g_d_g_5,241.49485457443552
pca_umap_g_d_g_6,89.17023353053082
pca_umap_g_d_g_7,61.82138634072635
pca_umap_g_d_g_8,1648.8952048490755
pca_umap_g_d_g_9,383.0446701164474
pca_umap_g_d_g_10,251.13598447619006
pca_umap_c_d_c_1,3.9541541943035554
pca_umap_c_d_c_2,29.455723684219826
pca_umap_g_1,916.3456408723614
pca_umap_g_2,967.3875241263158
pca_umap_g_3,90.1194690480927
pca_umap_g_4,78.35421546907764
pca_umap_g_5,1264.8439117975272
pca_umap_g_6,213.73650158554574
pca_umap_g_7,82.49071028460457
pca_umap_g_8,28.340169986863657
pca_umap_g_9,156.40703385011432
pca_umap_g_10,564.2855559154573
pca_umap_c_1,60.7043420271948
pca_umap_c_2,25.676008558628382
pca_umap_d_g_1,8.737023184541613
pca_umap_d_g_2,472.94245380014763
pca_umap_d_g_3,17.44264082063455
pca_umap_d_g_4,34.572382012265734
pca_umap_d_g_5,72.32163018127903
pca_umap_d_g_6,155.67249765770976
